ParameterIndex,Parameter,Perturbation_pct,BaselineValue,TestValue,Global_R2,Global_RMSE_N,Global_MAE_N,Reference_R2,Reference_RMSE_N,Reference_MAE_N,Reference_Calpha_N_per_deg,Reference_PeakMu,Reference_PeakSA_deg
17,Pmu1,10,-0.0198458644467115,-0.0218304508913827,0.997149236604336,78.8516152318654,58.3893533225703,0.99590637496005,116.075640889461,93.269219009376,561.635273423459,2.51244225437599,12
18,Pmu2,-10,-0.000869607499243776,-0.000782646749319398,0.99718599996946,78.3415312746174,57.9787085695669,0.99590744225661,116.060508188361,93.256612520307,561.635273423459,2.51244225437599,12
18,Pmu2,-5,-0.000869607499243776,-0.000826127124281587,0.997187673888495,78.3182269237455,57.953057103242,0.995907451848024,116.060372187218,93.2565105591035,561.635273423459,2.51244225437599,12
18,Pmu2,0,-0.000869607499243776,-0.000869607499243776,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
18,Pmu2,5,-0.000869607499243776,-0.000913087874205965,0.997190681280804,78.276340487884,57.9057419162349,0.99590747103072,116.060100186346,93.2563066366449,561.635273423459,2.51244225437599,12
18,Pmu2,10,-0.000869607499243776,-0.000956568249168153,0.997192014484335,78.2577646892386,57.8837312559813,0.995907480622,116.059964186617,93.2562046753898,561.635273423459,2.51244225437599,12
19,Pk1,-10,-0.0174292781284872,-0.0156863503156385,0.997200625542503,78.1376786718968,57.797879101135,0.995907662301866,116.057388023769,93.2530802713863,561.635273423459,2.51244225437599,12
19,Pk1,-5,-0.0174292781284872,-0.0165578142220629,0.997195223179161,78.2130391984931,57.8611912456358,0.995907561989935,116.058810422187,93.2547450581667,561.635273423459,2.51244225437599,12
19,Pk1,0,-0.0174292781284872,-0.0174292781284872,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
19,Pk1,5,-0.0174292781284872,-0.0183007420349116,0.997182664405438,78.3879484387136,58.0013407816537,0.995907360650243,116.061665316714,93.2581105881984,561.635273423459,2.51244225437599,12
19,Pk1,10,-0.0174292781284872,-0.019172205941336,0.997175518472473,78.4872976747853,58.0781570747926,0.995907259622483,116.063097812558,93.25981559234,561.635273423459,2.51244225437599,12
